smooth/rough,disorganized/organized,chromaticity,dull/shiny,darkness/lightness,Image,fine/coarse grain,red/green
4.0,6.3,0.9,2.0,6.9,I_Rhyolite_11.jpg,3.1,5.05
5.9,5.15,4.8,2.6,5.1,I_Rhyolite_12.jpg,5.95,2.37
4.6,5.05,0.9,6.25,2.0,M_Amphibolite_01.jpg,5.55,4.4
5.5,4.55,0.6,2.3,2.35,M_Amphibolite_02.jpg,4.0,5.16
3.3,4.5,0.8,5.55,2.0,M_Amphibolite_03.jpg,3.85,4.6
5.25,5.15,1.8,3.85,2.85,M_Amphibolite_04.jpg,5.15,5.98
5.3,5.9,1.5,2.9,4.4,M_Amphibolite_05.jpg,5.5,5.14
5.0,5.55,1.6,2.85,3.25,M_Amphibolite_06.jpg,4.35,5.42
5.75,5.15,1.0,3.65,4.0,M_Amphibolite_07.jpg,6.0,5.35
6.15,4.35,1.0,6.5,1.65,M_Amphibolite_08.jpg,4.35,4.95
4.45,5.85,2.4,3.5,3.0,M_Amphibolite_09.jpg,5.75,6.28
4.2,6.35,0.2,2.75,2.75,M_Amphibolite_10.jpg,5.3,5.09
6.95,3.5,1.4,3.65,3.1,M_Amphibolite_11.jpg,7.0,6.49
7.35,2.35,2.3,4.3,3.55,M_Amphibolite_12.jpg,6.95,6.53
1.4,5.6,0.2,7.75,1.0,M_Anthracite_01.jpg,1.65,5.0
3.3,4.35,0.9,8.25,1.45,M_Anthracite_02.jpg,1.9,4.7
7.3,3.5,1.4,7.55,3.15,M_Anthracite_03.jpg,4.9,5.6
3.75,4.3,0.8,8.65,1.3,M_Anthracite_04.jpg,1.95,4.67
2.85,5.0,0.2,8.4,1.05,M_Anthracite_05.jpg,1.85,4.91
4.95,6.5,1.0,6.15,2.75,M_Anthracite_06.jpg,2.6,5.05
1.65,5.9,0.2,8.0,1.7,M_Anthracite_07.jpg,1.3,5.0
1.9,5.55,0.3,8.15,1.0,M_Anthracite_08.jpg,1.3,5.0
2.1,5.3,0.4,8.15,1.15,M_Anthracite_09.jpg,1.4,4.98
5.85,4.25,0.4,7.95,1.35,M_Anthracite_10.jpg,3.35,4.86
4.35,5.4,0.6,7.15,1.15,M_Anthracite_11.jpg,2.55,5.09
3.15,4.3,0.4,8.3,1.15,M_Anthracite_12.jpg,2.5,5.16
