dull/shiny,disorganized/organized,fine/coarse grain,Image,red/green,smooth/rough,chromaticity,darkness/lightness
2.95,5.1,3.0,M_Hornfels_01.jpg,5.12,3.85,0.4,1.85
2.4,5.75,2.8,M_Hornfels_02.jpg,5.72,3.75,1.6,5.25
3.4,5.5,2.6,M_Hornfels_03.jpg,4.98,3.75,1.0,2.8
2.05,5.1,3.45,M_Hornfels_04.jpg,5.16,4.75,2.1,3.8
3.15,5.45,2.15,M_Hornfels_05.jpg,5.07,3.45,0.5,2.0
2.3,5.2,2.8,M_Hornfels_06.jpg,2.74,4.05,3.9,2.95
4.35,5.4,3.05,M_Hornfels_07.jpg,6.63,5.05,1.3,1.65
3.85,4.55,3.85,M_Hornfels_08.jpg,5.07,5.5,1.1,3.65
2.65,4.3,4.85,M_Hornfels_09.jpg,5.0,5.4,2.0,4.25
2.05,4.7,3.85,M_Hornfels_10.jpg,5.28,4.25,1.1,4.4
2.1,4.75,3.9,M_Hornfels_11.jpg,5.14,4.6,1.3,3.4
3.35,5.15,2.6,M_Hornfels_12.jpg,5.02,3.3,1.4,3.6
3.65,3.3,6.2,M_Marble_01.jpg,6.51,7.1,1.2,7.6
5.25,5.9,2.55,M_Marble_02.jpg,4.95,4.25,0.2,8.9
4.15,6.0,2.7,M_Marble_03.jpg,5.09,3.7,0.4,8.95
5.45,5.45,3.2,M_Marble_04.jpg,4.79,4.2,0.7,8.65
5.35,4.7,3.15,M_Marble_05.jpg,3.91,3.9,1.1,8.2
4.85,4.95,3.45,M_Marble_06.jpg,5.33,4.75,1.3,8.25
3.25,6.95,4.95,M_Marble_07.jpg,5.09,4.35,0.8,6.3
5.7,4.9,4.6,M_Marble_08.jpg,2.09,5.55,5.1,6.5
6.3,4.8,5.2,M_Marble_09.jpg,5.12,5.8,0.2,8.3
6.2,5.3,4.5,M_Marble_10.jpg,3.0,5.7,3.9,7.75
4.85,3.95,5.5,M_Marble_11.jpg,3.07,5.25,3.8,7.2
5.15,6.95,4.65,M_Marble_12.jpg,5.14,4.25,0.4,6.65
