porphyritic texture,Image,conchoidal fracture,pegmatitic structure
4.48,S_Rock Salt_03.jpg,2.07,5.0
3.81,S_Rock Salt_04.jpg,3.47,7.4
2.57,S_Rock Salt_05.jpg,2.87,3.55
3.43,S_Rock Salt_06.jpg,3.13,5.75
2.95,S_Rock Salt_07.jpg,2.2,4.95
1.76,S_Rock Salt_08.jpg,3.67,5.05
2.19,S_Rock Salt_09.jpg,3.6,6.4
3.1,S_Rock Salt_10.jpg,3.07,3.5
2.86,S_Rock Salt_11.jpg,3.6,3.15
2.1,S_Rock Salt_12.jpg,3.6,5.05
3.05,S_Sandstone_01.jpg,2.8,1.95
1.9,S_Sandstone_02.jpg,2.8,1.25
1.71,S_Sandstone_03.jpg,2.47,1.1
1.57,S_Sandstone_04.jpg,2.27,1.0
1.57,S_Sandstone_05.jpg,3.2,1.5
2.48,S_Sandstone_06.jpg,3.13,2.2
2.57,S_Sandstone_07.jpg,2.33,1.55
1.62,S_Sandstone_08.jpg,2.53,1.15
2.1,S_Sandstone_09.jpg,2.8,1.75
3.29,S_Sandstone_10.jpg,1.93,1.55
1.81,S_Sandstone_11.jpg,2.27,1.45
1.43,S_Sandstone_12.jpg,2.27,1.65
1.67,S_Shale_01.jpg,5.07,1.25
2.14,S_Shale_02.jpg,3.6,1.9
1.71,S_Shale_03.jpg,2.13,1.15
1.33,S_Shale_04.jpg,4.6,1.1
1.71,S_Shale_05.jpg,5.2,1.45
3.24,S_Shale_06.jpg,3.53,2.55
1.67,S_Shale_07.jpg,3.93,1.8
1.43,S_Shale_08.jpg,4.4,1.25
3.05,S_Shale_09.jpg,3.4,2.35
1.62,S_Shale_10.jpg,3.2,1.45
2.29,S_Shale_11.jpg,3.87,1.9
2.14,S_Shale_12.jpg,3.6,1.2
