fine/coarse grain,smooth/rough,darkness/lightness,dull/shiny,chromaticity,red/green,disorganized/organized,Image
4.75,5.3,8.15,1.7,1.3,4.91,5.6,I_Pumice_11.jpg
4.3,4.6,8.45,2.0,0.6,4.49,5.4,I_Pumice_12.jpg
5.6,5.85,7.1,2.75,1.7,4.58,4.45,I_Rhyolite_01.jpg
5.85,4.5,5.5,2.25,3.4,3.21,5.35,I_Rhyolite_02.jpg
4.9,4.1,3.8,4.65,2.5,6.0,6.55,I_Rhyolite_03.jpg
3.7,4.05,7.55,2.55,4.2,2.58,5.8,I_Rhyolite_04.jpg
4.35,4.95,5.5,2.25,4.1,2.74,4.35,I_Rhyolite_05.jpg
5.25,4.3,4.05,3.75,1.9,5.37,6.35,I_Rhyolite_06.jpg
3.75,4.45,3.15,2.4,1.8,4.33,7.15,I_Rhyolite_07.jpg
3.55,3.95,7.05,1.45,4.5,2.91,6.2,I_Rhyolite_08.jpg
5.85,4.55,6.25,1.8,5.2,2.51,5.45,I_Rhyolite_09.jpg
5.4,4.75,5.7,2.65,2.2,7.98,5.8,I_Rhyolite_10.jpg
3.1,4.0,6.9,2.0,0.9,5.05,6.3,I_Rhyolite_11.jpg
5.95,5.9,5.1,2.6,4.8,2.37,5.15,I_Rhyolite_12.jpg
5.55,4.6,2.0,6.25,0.9,4.4,5.05,M_Amphibolite_01.jpg
4.0,5.5,2.35,2.3,0.6,5.16,4.55,M_Amphibolite_02.jpg
3.85,3.3,2.0,5.55,0.8,4.6,4.5,M_Amphibolite_03.jpg
5.15,5.25,2.85,3.85,1.8,5.98,5.15,M_Amphibolite_04.jpg
5.5,5.3,4.4,2.9,1.5,5.14,5.9,M_Amphibolite_05.jpg
4.35,5.0,3.25,2.85,1.6,5.42,5.55,M_Amphibolite_06.jpg
6.0,5.75,4.0,3.65,1.0,5.35,5.15,M_Amphibolite_07.jpg
4.35,6.15,1.65,6.5,1.0,4.95,4.35,M_Amphibolite_08.jpg
5.75,4.45,3.0,3.5,2.4,6.28,5.85,M_Amphibolite_09.jpg
5.3,4.2,2.75,2.75,0.2,5.09,6.35,M_Amphibolite_10.jpg
7.0,6.95,3.1,3.65,1.4,6.49,3.5,M_Amphibolite_11.jpg
6.95,7.35,3.55,4.3,2.3,6.53,2.35,M_Amphibolite_12.jpg
1.65,1.4,1.0,7.75,0.2,5.0,5.6,M_Anthracite_01.jpg
1.9,3.3,1.45,8.25,0.9,4.7,4.35,M_Anthracite_02.jpg
4.9,7.3,3.15,7.55,1.4,5.6,3.5,M_Anthracite_03.jpg
1.95,3.75,1.3,8.65,0.8,4.67,4.3,M_Anthracite_04.jpg
1.85,2.85,1.05,8.4,0.2,4.91,5.0,M_Anthracite_05.jpg
2.6,4.95,2.75,6.15,1.0,5.05,6.5,M_Anthracite_06.jpg
1.3,1.65,1.7,8.0,0.2,5.0,5.9,M_Anthracite_07.jpg
1.3,1.9,1.0,8.15,0.3,5.0,5.55,M_Anthracite_08.jpg
1.4,2.1,1.15,8.15,0.4,4.98,5.3,M_Anthracite_09.jpg
3.35,5.85,1.35,7.95,0.4,4.86,4.25,M_Anthracite_10.jpg
2.55,4.35,1.15,7.15,0.6,5.09,5.4,M_Anthracite_11.jpg
2.5,3.15,1.15,8.3,0.4,5.16,4.3,M_Anthracite_12.jpg
4.05,3.5,5.4,2.45,1.8,6.53,7.15,M_Gneiss_01.jpg
5.3,4.9,5.75,3.8,3.6,4.91,6.7,M_Gneiss_02.jpg
4.5,4.55,5.85,2.85,2.5,4.3,6.45,M_Gneiss_03.jpg
5.2,4.3,5.1,2.9,3.6,3.23,6.4,M_Gneiss_04.jpg
5.0,4.8,6.1,2.9,2.7,6.88,6.5,M_Gneiss_05.jpg
4.55,3.85,6.25,2.35,1.4,4.19,8.1,M_Gneiss_06.jpg
4.0,4.0,4.95,2.9,2.2,6.49,7.5,M_Gneiss_07.jpg
5.15,4.45,5.5,4.0,1.3,6.42,7.15,M_Gneiss_08.jpg
4.9,4.15,5.35,2.25,1.1,5.47,8.05,M_Gneiss_09.jpg
5.45,5.15,5.35,3.0,3.9,3.49,6.65,M_Gneiss_10.jpg
4.85,4.65,5.3,3.3,1.7,5.19,7.65,M_Gneiss_11.jpg
5.25,4.3,4.0,3.0,1.4,5.09,5.2,M_Gneiss_12.jpg
3.0,3.85,1.85,2.95,0.4,5.12,5.1,M_Hornfels_01.jpg
2.8,3.75,5.25,2.4,1.6,5.72,5.75,M_Hornfels_02.jpg
2.6,3.75,2.8,3.4,1.0,4.98,5.5,M_Hornfels_03.jpg
3.45,4.75,3.8,2.05,2.1,5.16,5.1,M_Hornfels_04.jpg
2.15,3.45,2.0,3.15,0.5,5.07,5.45,M_Hornfels_05.jpg
2.8,4.05,2.95,2.3,3.9,2.74,5.2,M_Hornfels_06.jpg
3.05,5.05,1.65,4.35,1.3,6.63,5.4,M_Hornfels_07.jpg
3.85,5.5,3.65,3.85,1.1,5.07,4.55,M_Hornfels_08.jpg
4.85,5.4,4.25,2.65,2.0,5.0,4.3,M_Hornfels_09.jpg
3.85,4.25,4.4,2.05,1.1,5.28,4.7,M_Hornfels_10.jpg
3.9,4.6,3.4,2.1,1.3,5.14,4.75,M_Hornfels_11.jpg
2.6,3.3,3.6,3.35,1.4,5.02,5.15,M_Hornfels_12.jpg
6.2,7.1,7.6,3.65,1.2,6.51,3.3,M_Marble_01.jpg
2.55,4.25,8.9,5.25,0.2,4.95,5.9,M_Marble_02.jpg
2.7,3.7,8.95,4.15,0.4,5.09,6.0,M_Marble_03.jpg
3.2,4.2,8.65,5.45,0.7,4.79,5.45,M_Marble_04.jpg
3.15,3.9,8.2,5.35,1.1,3.91,4.7,M_Marble_05.jpg
3.45,4.75,8.25,4.85,1.3,5.33,4.95,M_Marble_06.jpg
4.95,4.35,6.3,3.25,0.8,5.09,6.95,M_Marble_07.jpg
4.6,5.55,6.5,5.7,5.1,2.09,4.9,M_Marble_08.jpg
5.2,5.8,8.3,6.3,0.2,5.12,4.8,M_Marble_09.jpg
4.5,5.7,7.75,6.2,3.9,3.0,5.3,M_Marble_10.jpg
5.5,5.25,7.2,4.85,3.8,3.07,3.95,M_Marble_11.jpg
4.65,4.25,6.65,5.15,0.4,5.14,6.95,M_Marble_12.jpg
5.05,4.65,6.25,2.7,0.8,5.58,5.55,M_Migmatite_01.jpg
4.6,4.8,4.35,2.4,1.0,5.28,4.2,M_Migmatite_02.jpg
4.25,3.7,5.85,2.55,1.7,5.7,8.05,M_Migmatite_03.jpg
3.6,3.2,5.45,3.2,1.3,5.21,5.95,M_Migmatite_04.jpg
4.3,4.05,5.3,2.15,1.4,5.28,4.75,M_Migmatite_05.jpg
5.05,4.85,5.55,3.95,1.1,5.14,5.05,M_Migmatite_06.jpg
5.2,4.55,4.6,3.15,1.8,5.67,6.35,M_Migmatite_07.jpg
5.1,4.85,4.55,3.4,2.0,6.84,6.2,M_Migmatite_08.jpg
5.85,5.85,5.05,3.05,2.3,6.23,3.8,M_Migmatite_09.jpg
5.35,4.6,4.4,2.2,1.5,5.09,5.15,M_Migmatite_10.jpg
4.35,4.85,3.25,3.0,0.8,5.0,5.05,M_Migmatite_11.jpg
4.35,4.6,4.5,2.45,1.2,4.91,7.1,M_Migmatite_12.jpg
5.5,5.45,4.5,4.95,1.0,5.35,4.25,M_Phyllite_01.jpg
3.55,4.0,5.0,2.35,1.4,4.33,5.65,M_Phyllite_02.jpg
3.3,4.4,5.8,5.25,2.7,5.86,5.2,M_Phyllite_03.jpg
3.85,3.9,4.5,5.7,2.7,6.67,4.9,M_Phyllite_04.jpg
2.9,3.25,5.95,3.75,1.9,5.79,7.1,M_Phyllite_05.jpg
3.35,3.6,5.1,6.1,1.8,6.12,6.2,M_Phyllite_06.jpg
3.4,3.8,4.25,2.65,2.5,7.19,5.9,M_Phyllite_07.jpg
2.9,2.85,2.9,6.55,1.7,6.77,6.2,M_Phyllite_08.jpg
3.45,3.95,5.65,5.0,2.3,7.93,5.35,M_Phyllite_09.jpg
3.4,3.7,4.55,2.4,1.5,5.33,5.35,M_Phyllite_10.jpg
5.25,6.15,4.75,3.9,1.8,4.91,4.85,M_Phyllite_11.jpg
3.75,4.75,6.45,6.4,1.7,5.51,5.4,M_Phyllite_12.jpg
4.35,3.9,6.05,2.85,1.2,5.02,5.35,M_Quartzite_01.jpg
3.2,3.1,5.4,2.5,2.5,3.77,7.55,M_Quartzite_02.jpg
5.1,5.15,5.55,2.85,3.3,8.49,5.45,M_Quartzite_03.jpg
4.85,4.95,6.45,3.7,1.4,5.91,4.6,M_Quartzite_04.jpg
4.05,3.8,7.55,4.3,1.0,5.09,5.7,M_Quartzite_05.jpg
4.75,4.7,6.4,4.35,2.9,3.74,5.9,M_Quartzite_06.jpg
2.6,2.9,6.15,3.45,2.4,6.07,6.05,M_Quartzite_07.jpg
4.2,4.35,7.15,3.45,1.4,5.23,5.75,M_Quartzite_08.jpg
5.05,4.05,7.05,4.4,1.0,4.95,4.65,M_Quartzite_09.jpg
5.1,5.8,6.4,4.75,3.9,2.91,3.9,M_Quartzite_10.jpg
4.4,3.9,5.65,2.15,5.5,1.58,5.9,M_Quartzite_11.jpg
3.45,3.9,6.5,1.95,3.7,4.0,6.05,M_Quartzite_12.jpg
4.2,5.1,5.8,2.95,1.6,4.81,4.7,M_Schist_01.jpg
5.65,6.8,6.55,5.35,0.9,5.53,3.7,M_Schist_02.jpg
5.5,6.55,3.15,4.55,2.7,6.77,3.8,M_Schist_03.jpg
5.55,5.55,4.55,4.85,4.1,3.58,3.9,M_Schist_04.jpg
3.95,5.1,3.9,6.8,1.3,5.63,4.74,M_Schist_05.jpg
6.2,6.4,4.55,5.95,1.6,4.21,3.95,M_Schist_06.jpg
6.1,6.3,4.15,5.0,3.3,7.65,3.7,M_Schist_07.jpg
5.25,5.45,5.95,4.4,1.0,5.12,3.5,M_Schist_08.jpg
5.6,6.15,3.2,3.05,0.6,5.72,4.7,M_Schist_09.jpg
5.3,5.65,4.8,4.35,1.3,5.86,4.6,M_Schist_10.jpg
5.45,5.8,4.55,4.15,2.4,5.26,4.1,M_Schist_11.jpg
6.35,5.9,4.1,4.2,2.3,4.77,3.3,M_Schist_12.jpg
3.75,4.25,4.9,2.45,3.4,8.49,6.15,M_Slate_01.jpg
1.7,2.6,6.65,6.05,0.8,5.05,5.95,M_Slate_02.jpg
3.1,3.7,5.0,2.4,0.7,5.53,5.2,M_Slate_03.jpg
2.75,3.6,4.5,2.15,0.4,5.4,5.6,M_Slate_04.jpg
2.8,3.7,5.1,2.9,5.7,1.16,6.2,M_Slate_05.jpg
2.7,4.05,3.25,2.25,1.2,4.81,5.45,M_Slate_06.jpg
2.6,3.2,4.4,2.35,4.6,6.63,5.6,M_Slate_07.jpg
2.1,2.5,3.45,1.95,5.0,2.63,6.0,M_Slate_08.jpg
3.2,4.2,5.1,2.9,1.7,5.0,4.7,M_Slate_09.jpg
3.05,4.1,5.1,2.95,0.5,5.12,5.8,M_Slate_10.jpg
2.9,2.9,6.75,3.55,1.6,5.98,5.4,M_Slate_11.jpg
2.45,2.7,4.55,1.65,0.9,4.63,6.05,M_Slate_12.jpg
4.25,5.8,2.15,6.3,1.0,5.07,4.4,S_Bituminous Coal_01.jpg
2.1,3.25,1.35,8.65,0.2,5.07,4.9,S_Bituminous Coal_02.jpg
4.35,6.6,1.3,6.15,0.3,5.02,4.65,S_Bituminous Coal_03.jpg
3.4,4.35,2.85,7.25,0.8,5.49,4.3,S_Bituminous Coal_04.jpg
2.95,4.9,1.55,4.65,1.2,5.02,4.6,S_Bituminous Coal_05.jpg
