disorganized/organized,red/green,fine/coarse grain,dull/shiny,chromaticity,Image,darkness/lightness,smooth/rough
6.2,6.84,5.1,3.4,2.0,M_Migmatite_08.jpg,4.55,4.85
3.8,6.23,5.85,3.05,2.3,M_Migmatite_09.jpg,5.05,5.85
5.15,5.09,5.35,2.2,1.5,M_Migmatite_10.jpg,4.4,4.6
5.05,5.0,4.35,3.0,0.8,M_Migmatite_11.jpg,3.25,4.85
7.1,4.91,4.35,2.45,1.2,M_Migmatite_12.jpg,4.5,4.6
4.25,5.35,5.5,4.95,1.0,M_Phyllite_01.jpg,4.5,5.45
5.65,4.33,3.55,2.35,1.4,M_Phyllite_02.jpg,5.0,4.0
5.2,5.86,3.3,5.25,2.7,M_Phyllite_03.jpg,5.8,4.4
4.9,6.67,3.85,5.7,2.7,M_Phyllite_04.jpg,4.5,3.9
7.1,5.79,2.9,3.75,1.9,M_Phyllite_05.jpg,5.95,3.25
6.2,6.12,3.35,6.1,1.8,M_Phyllite_06.jpg,5.1,3.6
5.9,7.19,3.4,2.65,2.5,M_Phyllite_07.jpg,4.25,3.8
6.2,6.77,2.9,6.55,1.7,M_Phyllite_08.jpg,2.9,2.85
5.35,7.93,3.45,5.0,2.3,M_Phyllite_09.jpg,5.65,3.95
5.35,5.33,3.4,2.4,1.5,M_Phyllite_10.jpg,4.55,3.7
4.85,4.91,5.25,3.9,1.8,M_Phyllite_11.jpg,4.75,6.15
5.4,5.51,3.75,6.4,1.7,M_Phyllite_12.jpg,6.45,4.75
5.35,5.02,4.35,2.85,1.2,M_Quartzite_01.jpg,6.05,3.9
7.55,3.77,3.2,2.5,2.5,M_Quartzite_02.jpg,5.4,3.1
5.45,8.49,5.1,2.85,3.3,M_Quartzite_03.jpg,5.55,5.15
4.6,5.91,4.85,3.7,1.4,M_Quartzite_04.jpg,6.45,4.95
5.7,5.09,4.05,4.3,1.0,M_Quartzite_05.jpg,7.55,3.8
5.9,3.74,4.75,4.35,2.9,M_Quartzite_06.jpg,6.4,4.7
6.05,6.07,2.6,3.45,2.4,M_Quartzite_07.jpg,6.15,2.9
5.75,5.23,4.2,3.45,1.4,M_Quartzite_08.jpg,7.15,4.35
4.65,4.95,5.05,4.4,1.0,M_Quartzite_09.jpg,7.05,4.05
3.9,2.91,5.1,4.75,3.9,M_Quartzite_10.jpg,6.4,5.8
5.9,1.58,4.4,2.15,5.5,M_Quartzite_11.jpg,5.65,3.9
6.05,4.0,3.45,1.95,3.7,M_Quartzite_12.jpg,6.5,3.9
4.7,4.81,4.2,2.95,1.6,M_Schist_01.jpg,5.8,5.1
3.7,5.53,5.65,5.35,0.9,M_Schist_02.jpg,6.55,6.8
3.8,6.77,5.5,4.55,2.7,M_Schist_03.jpg,3.15,6.55
3.9,3.58,5.55,4.85,4.1,M_Schist_04.jpg,4.55,5.55
4.74,5.63,3.95,6.8,1.3,M_Schist_05.jpg,3.9,5.1
3.95,4.21,6.2,5.95,1.6,M_Schist_06.jpg,4.55,6.4
3.7,7.65,6.1,5.0,3.3,M_Schist_07.jpg,4.15,6.3
3.5,5.12,5.25,4.4,1.0,M_Schist_08.jpg,5.95,5.45
4.7,5.72,5.6,3.05,0.6,M_Schist_09.jpg,3.2,6.15
4.6,5.86,5.3,4.35,1.3,M_Schist_10.jpg,4.8,5.65
4.1,5.26,5.45,4.15,2.4,M_Schist_11.jpg,4.55,5.8
3.3,4.77,6.35,4.2,2.3,M_Schist_12.jpg,4.1,5.9
6.15,8.49,3.75,2.45,3.4,M_Slate_01.jpg,4.9,4.25
5.95,5.05,1.7,6.05,0.8,M_Slate_02.jpg,6.65,2.6
5.2,5.53,3.1,2.4,0.7,M_Slate_03.jpg,5.0,3.7
5.6,5.4,2.75,2.15,0.4,M_Slate_04.jpg,4.5,3.6
6.2,1.16,2.8,2.9,5.7,M_Slate_05.jpg,5.1,3.7
