smooth/rough,Image,red/green,dull/shiny,chromaticity,fine/coarse grain,darkness/lightness,disorganized/organized
2.85,M_Anthracite_05.jpg,4.91,8.4,0.2,1.85,1.05,5.0
4.95,M_Anthracite_06.jpg,5.05,6.15,1.0,2.6,2.75,6.5
1.65,M_Anthracite_07.jpg,5.0,8.0,0.2,1.3,1.7,5.9
1.9,M_Anthracite_08.jpg,5.0,8.15,0.3,1.3,1.0,5.55
2.1,M_Anthracite_09.jpg,4.98,8.15,0.4,1.4,1.15,5.3
5.85,M_Anthracite_10.jpg,4.86,7.95,0.4,3.35,1.35,4.25
4.35,M_Anthracite_11.jpg,5.09,7.15,0.6,2.55,1.15,5.4
3.15,M_Anthracite_12.jpg,5.16,8.3,0.4,2.5,1.15,4.3
3.5,M_Gneiss_01.jpg,6.53,2.45,1.8,4.05,5.4,7.15
4.9,M_Gneiss_02.jpg,4.91,3.8,3.6,5.3,5.75,6.7
4.55,M_Gneiss_03.jpg,4.3,2.85,2.5,4.5,5.85,6.45
4.3,M_Gneiss_04.jpg,3.23,2.9,3.6,5.2,5.1,6.4
4.8,M_Gneiss_05.jpg,6.88,2.9,2.7,5.0,6.1,6.5
3.85,M_Gneiss_06.jpg,4.19,2.35,1.4,4.55,6.25,8.1
4.0,M_Gneiss_07.jpg,6.49,2.9,2.2,4.0,4.95,7.5
4.45,M_Gneiss_08.jpg,6.42,4.0,1.3,5.15,5.5,7.15
4.15,M_Gneiss_09.jpg,5.47,2.25,1.1,4.9,5.35,8.05
5.15,M_Gneiss_10.jpg,3.49,3.0,3.9,5.45,5.35,6.65
4.65,M_Gneiss_11.jpg,5.19,3.3,1.7,4.85,5.3,7.65
4.3,M_Gneiss_12.jpg,5.09,3.0,1.4,5.25,4.0,5.2
3.85,M_Hornfels_01.jpg,5.12,2.95,0.4,3.0,1.85,5.1
3.75,M_Hornfels_02.jpg,5.72,2.4,1.6,2.8,5.25,5.75
3.75,M_Hornfels_03.jpg,4.98,3.4,1.0,2.6,2.8,5.5
4.75,M_Hornfels_04.jpg,5.16,2.05,2.1,3.45,3.8,5.1
3.45,M_Hornfels_05.jpg,5.07,3.15,0.5,2.15,2.0,5.45
4.05,M_Hornfels_06.jpg,2.74,2.3,3.9,2.8,2.95,5.2
5.05,M_Hornfels_07.jpg,6.63,4.35,1.3,3.05,1.65,5.4
5.5,M_Hornfels_08.jpg,5.07,3.85,1.1,3.85,3.65,4.55
5.4,M_Hornfels_09.jpg,5.0,2.65,2.0,4.85,4.25,4.3
