red/green,disorganized/organized,dull/shiny,chromaticity,darkness/lightness,Image,fine/coarse grain,smooth/rough
5.07,4.85,7.95,0.4,1.25,I_Obsidian_03.jpg,1.6,2.7
5.02,5.95,8.9,0.1,1.0,I_Obsidian_04.jpg,1.25,1.4
5.51,3.5,7.85,0.5,1.6,I_Obsidian_05.jpg,3.9,1.65
3.0,5.0,8.75,2.6,1.85,I_Obsidian_06.jpg,2.15,2.15
3.16,6.5,7.65,2.9,1.7,I_Obsidian_07.jpg,2.45,1.9
5.37,5.5,8.95,1.1,1.55,I_Obsidian_08.jpg,1.55,1.6
5.6,5.75,8.5,0.6,1.05,I_Obsidian_09.jpg,1.1,1.65
5.56,5.45,8.65,0.9,1.4,I_Obsidian_10.jpg,1.3,1.45
5.0,6.1,8.75,0.1,1.0,I_Obsidian_11.jpg,1.15,1.2
4.72,5.6,8.85,0.6,1.05,I_Obsidian_12.jpg,1.2,1.6
5.95,1.45,4.45,2.7,5.0,I_Pegmatite_01.jpg,8.2,8.3
2.88,2.9,3.5,4.7,3.8,I_Pegmatite_02.jpg,6.85,6.4
8.19,2.25,4.15,2.9,4.4,I_Pegmatite_03.jpg,7.45,6.5
4.7,2.15,5.15,1.3,6.15,I_Pegmatite_04.jpg,7.25,7.65
5.33,2.45,4.35,1.0,5.1,I_Pegmatite_05.jpg,7.6,7.15
4.37,3.3,3.9,1.8,6.8,I_Pegmatite_06.jpg,5.75,5.85
5.77,2.35,4.5,2.6,5.0,I_Pegmatite_07.jpg,7.45,6.9
5.07,2.6,6.6,3.0,4.5,I_Pegmatite_08.jpg,5.95,6.9
7.56,2.1,5.2,3.5,5.55,I_Pegmatite_09.jpg,6.8,6.8
7.67,3.55,5.7,4.4,6.4,I_Pegmatite_10.jpg,6.6,6.5
3.0,2.5,4.55,4.3,5.25,I_Pegmatite_11.jpg,7.45,6.5
5.07,3.25,4.75,0.5,5.45,I_Pegmatite_12.jpg,6.6,6.75
5.58,5.85,2.85,1.4,3.25,I_Peridotite_01.jpg,3.55,4.95
7.56,3.45,4.75,4.1,5.35,I_Peridotite_02.jpg,6.2,5.7
5.44,4.2,3.35,1.1,3.3,I_Peridotite_03.jpg,6.45,6.15
4.16,4.0,4.35,3.8,5.7,I_Peridotite_04.jpg,6.25,5.5
7.21,4.3,4.65,2.9,4.6,I_Peridotite_05.jpg,4.8,5.9
7.72,2.45,6.0,3.3,5.05,I_Peridotite_06.jpg,6.95,7.0
7.33,4.45,3.4,2.3,4.7,I_Peridotite_07.jpg,5.85,6.2
7.16,4.25,4.0,3.6,4.2,I_Peridotite_08.jpg,6.4,6.1
5.05,4.25,3.1,1.5,3.95,I_Peridotite_09.jpg,4.8,5.05
7.21,4.1,4.35,2.5,5.1,I_Peridotite_10.jpg,6.65,7.1
8.51,3.5,2.45,3.0,5.45,I_Peridotite_11.jpg,6.35,6.95
7.33,4.6,4.1,2.6,4.85,I_Peridotite_12.jpg,6.45,6.0
4.86,4.35,1.8,1.3,8.2,I_Pumice_01.jpg,4.95,5.9
4.35,3.85,2.0,1.8,7.9,I_Pumice_02.jpg,5.8,7.05
4.65,3.9,1.85,2.0,7.6,I_Pumice_03.jpg,4.85,6.6
4.79,4.55,1.6,1.3,7.1,I_Pumice_04.jpg,5.2,6.2
7.4,4.85,1.55,3.8,6.6,I_Pumice_05.jpg,5.2,6.35
4.16,5.1,1.95,3.4,7.2,I_Pumice_06.jpg,5.55,7.05
4.49,4.15,2.35,1.6,6.9,I_Pumice_07.jpg,5.85,6.65
4.93,4.95,2.15,0.4,7.3,I_Pumice_08.jpg,4.25,5.1
4.95,3.7,2.15,1.4,7.85,I_Pumice_09.jpg,6.1,7.6
5.88,5.6,1.85,1.0,8.25,I_Pumice_10.jpg,6.15,7.25
4.91,5.6,1.7,1.3,8.15,I_Pumice_11.jpg,4.75,5.3
4.49,5.4,2.0,0.6,8.45,I_Pumice_12.jpg,4.3,4.6
4.58,4.45,2.75,1.7,7.1,I_Rhyolite_01.jpg,5.6,5.85
3.21,5.35,2.25,3.4,5.5,I_Rhyolite_02.jpg,5.85,4.5
6.0,6.55,4.65,2.5,3.8,I_Rhyolite_03.jpg,4.9,4.1
2.58,5.8,2.55,4.2,7.55,I_Rhyolite_04.jpg,3.7,4.05
2.74,4.35,2.25,4.1,5.5,I_Rhyolite_05.jpg,4.35,4.95
5.37,6.35,3.75,1.9,4.05,I_Rhyolite_06.jpg,5.25,4.3
4.33,7.15,2.4,1.8,3.15,I_Rhyolite_07.jpg,3.75,4.45
2.91,6.2,1.45,4.5,7.05,I_Rhyolite_08.jpg,3.55,3.95
